世界之窗,5A,广东省深圳市南山区深南大道9037号,"113.979471,22.540136",全球微缩景点，精彩演绎、娱乐项目应有尽有,/ticket/detail_3116283086.html?st=a3clM0QlRTUlQjklQkYlRTQlQjglOUMlMjZpZCUzRDE5MTAyNiUyNnR5cGUlM0QwJTI2aWR4JTNEMSUyNnF0JTNEcmVnaW9uJTI2YXBrJTNEMiUyNnNjJTNEV1dXJTI2dXIlM0QlRTUlQjklQkYlRTUlQjclOUUlMjZsciUzRCVFNSVCOSVCRiVFNSVCNyU5RSUyNnN0JTNEcHU%3D#from=mpl_search_suggest
深圳欢乐谷,5A,广东省深圳市南山区华侨城侨城街1号,"113.987249,22.547732",狂欢无罪，够胆你就来,/ticket/detail_2703837406.html?st=a3clM0QlRTUlQjklQkYlRTQlQjglOUMlMjZpZCUzRDEwNDYyJTI2dHlwZSUzRDAlMjZpZHglM0QyJTI2cXQlM0RyZWdpb24lMjZhcGslM0QyJTI2c2MlM0RXV1clMjZ1ciUzRCVFNSVCOSVCRiVFNSVCNyU5RSUyNmxyJTNEJUU1JUI5JUJGJUU1JUI3JTlFJTI2c3QlM0RwdQ%3D%3D#from=mpl_search_suggest
深圳野生动物园,4A,广东省深圳市南山区西丽镇西丽路4065号,"113.979114,22.604906",放养式动物园让你和动物们“零距离”,/ticket/detail_3844890123.html?st=a3clM0QlRTUlQjklQkYlRTQlQjglOUMlMjZpZCUzRDM1NTAzJTI2dHlwZSUzRDAlMjZpZHglM0QzJTI2cXQlM0RyZWdpb24lMjZhcGslM0QyJTI2c2MlM0RXV1clMjZ1ciUzRCVFNSVCOSVCRiVFNSVCNyU5RSUyNmxyJTNEJUU1JUI5JUJGJUU1JUI3JTlFJTI2c3QlM0RwdQ%3D%3D#from=mpl_search_suggest
锦绣中华民俗村,5A,广东省深圳市南山区深南大道9003号华侨城锦绣中华苏州街,"113.993478,22.538498",深圳小人国——实景微缩景区候选世界纪录,/ticket/detail_245035852.html?st=a3clM0QlRTUlQjklQkYlRTQlQjglOUMlMjZpZCUzRDEyNjM4JTI2dHlwZSUzRDAlMjZpZHglM0Q0JTI2cXQlM0RyZWdpb24lMjZhcGslM0QyJTI2c2MlM0RXV1clMjZ1ciUzRCVFNSVCOSVCRiVFNSVCNyU5RSUyNmxyJTNEJUU1JUI5JUJGJUU1JUI3JTlFJTI2c3QlM0RwdQ%3D%3D#from=mpl_search_suggest
东部华侨城,4A,广东省深圳市盐田区艺海东路东部华侨城,"114.299739,22.623307",深圳唯美、动感的生态主题乐园,/ticket/detail_2519122776.html?st=a3clM0QlRTUlQjklQkYlRTQlQjglOUMlMjZpZCUzRDU0MDglMjZ0eXBlJTNEMCUyNmlkeCUzRDUlMjZxdCUzRHJlZ2lvbiUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU1JUI5JUJGJUU1JUI3JTlFJTI2bHIlM0QlRTUlQjklQkYlRTUlQjclOUUlMjZzdCUzRHB1#from=mpl_search_suggest
东部华侨城茵特拉根温泉,0,广东省深圳市盐田区大梅沙东部华侨城茶溪谷茵特拉根温泉,"114.281265,22.639096",独特的矿物质温泉是您养生、疗神之地,/ticket/detail_3815431689.html?st=a3clM0QlRTUlQjklQkYlRTQlQjglOUMlMjZpZCUzRDM4NTYxJTI2dHlwZSUzRDAlMjZpZHglM0Q2JTI2cXQlM0RyZWdpb24lMjZhcGslM0QyJTI2c2MlM0RXV1clMjZ1ciUzRCVFNSVCOSVCRiVFNSVCNyU5RSUyNmxyJTNEJUU1JUI5JUJGJUU1JUI3JTlFJTI2c3QlM0RwdQ%3D%3D#from=mpl_search_suggest
深圳光明农场农科大观园,0,广东省深圳市宝安区深圳宝安光明街道,"113.967124,22.766412",到处青山绿水，仿若世外桃园,/ticket/detail_2358123003.html?st=a3clM0QlRTUlQjklQkYlRTQlQjglOUMlMjZpZCUzRDU1NjclMjZ0eXBlJTNEMCUyNmlkeCUzRDclMjZxdCUzRHJlZ2lvbiUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU1JUI5JUJGJUU1JUI3JTlFJTI2bHIlM0QlRTUlQjklQkYlRTUlQjclOUUlMjZzdCUzRHB1#from=mpl_search_suggest
青青世界,4A,广东省深圳市南山区月亮湾青青街1号,"113.907231,22.505563",融入大自然、体会田园之乐,/ticket/detail_2984291252.html?st=a3clM0QlRTUlQjklQkYlRTQlQjglOUMlMjZpZCUzRDQ4OTElMjZ0eXBlJTNEMCUyNmlkeCUzRDglMjZxdCUzRHJlZ2lvbiUyNmFwayUzRDIlMjZzYyUzRFdXVyUyNnVyJTNEJUU1JUI5JUJGJUU1JUI3JTlFJTI2bHIlM0QlRTUlQjklQkYlRTUlQjclOUUlMjZzdCUzRHB1#from=mpl_search_suggest
东部华侨城大侠谷,0,广东省深圳市盐田区大梅沙东部华侨城,"114.310242,22.615183",行走峡湾栈道，倾听大自然的天籁之音,/ticket/detail_2506907772.html?st=a3clM0QlRTUlQjklQkYlRTQlQjglOUMlMjZpZCUzRDM4NTYwJTI2dHlwZSUzRDAlMjZpZHglM0Q5JTI2cXQlM0RyZWdpb24lMjZhcGslM0QyJTI2c2MlM0RXV1clMjZ1ciUzRCVFNSVCOSVCRiVFNSVCNyU5RSUyNmxyJTNEJUU1JUI5JUJGJUU1JUI3JTlFJTI2c3QlM0RwdQ%3D%3D#from=mpl_search_suggest
金色海岸游艇,0,广东省深圳市盐田区金色海岸码头,"114.285196,22.590821",“海上观光游览巴士”带你赏山海景观,/ticket/detail_2513432011.html?st=a3clM0QlRTUlQjklQkYlRTQlQjglOUMlMjZpZCUzRDM1NDAxJTI2dHlwZSUzRDAlMjZpZHglM0QxMCUyNnF0JTNEcmVnaW9uJTI2YXBrJTNEMiUyNnNjJTNEV1dXJTI2dXIlM0QlRTUlQjklQkYlRTUlQjclOUUlMjZsciUzRCVFNSVCOSVCRiVFNSVCNyU5RSUyNnN0JTNEcHU%3D#from=mpl_search_suggest
